playerID,MVP,Gold_Glove,Cy_Young_Award,All_Star_Game,Batting_Seasons_Number,Batting_LastSeason,Batting_Games,Batting_At_Bats,Batting_Runs,Batting_Hits,Batting_Doubles,Batting_Triples,Batting_Homeruns,Batting_Runs_Batted_In,Batting_Stolen_Bases,Batting_Caught_Steading,Batting_Base_on_Balls,Batting_Intentional_walks,Batting_Hit_by_pitch,Batting_Sacrifice_hits,Batting_Grounded_into_double_plays,Pitching_Wins,Pitching_Games,Pitching_Shutouts,Pitching_Saves,Pitching_Outs_Pitched,Pitching_Earned_Runs,Pitching_Strikeouts,Pitching_ERA,Pitching_HBP,Pitching_BK,Pitching_BFP,Pitching_GF,Pitching_R,inducted
aaronha01,1,3,0,24,23,1976,3298,12364,2174,3771,624,98,755,2297,240,73,1402,293,32,21,328,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y
abbotji01,0,0,0,NULL,10,1999,263,21,0,2,0,0,0,3,0,0,0,0,0,3,1,87,263,6,0,5022,791,888,49.46000051498413,32,11,7211,5,880,N
adamsba01,0,0,0,NULL,19,1926,482,1019,79,216,31,15,3,75,1,1,53,0,1,35,0,194,482,44,15,8986,917,1036,70.93999981880188,47,2,11947,89,1129,N
adamsbo03,0,0,0,NULL,14,1959,1281,4019,591,1082,188,49,37,303,67,30,414,1,17,78,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
adamssp01,0,0,0,NULL,13,1934,1424,5557,844,1588,249,48,9,394,154,50,453,0,28,136,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
ageeto01,0,2,0,2,12,1973,1129,3912,558,999,170,27,130,433,167,81,342,26,34,21,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
aguilri01,0,0,0,3,16,2000,737,139,12,28,3,0,3,11,0,0,6,0,0,16,1,86,732,0,318,3874,512,1030,66.42999935150146,36,10,5391,557,568,N
akerja01,0,0,0,NULL,11,1974,496,92,3,7,2,0,0,4,0,0,1,0,1,10,1,47,495,0,123,2238,272,404,53.959999561309814,40,0,3144,321,312,N
alexado01,0,0,0,0,19,1989,562,265,19,44,8,0,0,17,0,0,9,0,1,23,7,194,561,18,3,10103,1406,1528,88.66000008583069,53,10,14162,56,1541,N
alexape01,0,0,0,NULL,20,1930,703,1810,154,378,60,13,11,163,3,5,77,0,2,88,0,373,696,90,32,15570,1476,2198,62.42000079154968,70,1,20928,80,1851,Y
allenbe01,0,0,0,NULL,12,1973,1139,3404,357,815,140,21,73,351,13,16,370,52,8,24,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
allendi01,1,0,0,6,15,1977,1749,6332,1099,1848,320,79,351,1119,133,52,894,138,16,19,164,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
allenjo02,0,0,0,1,13,1944,365,716,82,124,12,3,4,64,1,0,33,0,0,36,8,142,352,17,18,5851,813,1070,56.480000257492065,38,5,8292,68,924,N
alleyge01,0,2,0,1,11,1973,1195,3927,442,999,140,44,55,342,63,30,300,62,27,56,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
allisdo01,0,0,0,NULL,10,1883,318,1407,236,381,43,10,2,140,5,2,22,0,0,0,0,0,1,0,0,15,1,0,1.7999999523162842,0,0,26,1,5,N
alomaro01,0,10,0,12,17,2004,2379,9073,1508,2724,504,80,210,1134,474,114,1032,62,50,148,206,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y
alomasa02,0,1,0,6,20,2007,1377,4530,520,1236,249,10,112,588,25,24,212,15,41,48,132,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
aloufe01,0,0,0,2,17,1974,2082,7339,985,2101,359,49,206,852,107,67,423,67,57,33,135,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
alouje01,0,0,0,NULL,15,1979,1380,4345,448,1216,170,26,32,377,31,46,138,32,30,44,143,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
alouma01,0,0,0,2,15,1974,1667,5789,780,1777,236,50,31,427,156,80,311,38,36,55,101,0,1,0,0,6,0,3,0,0,0,10,1,0,N
aloumo01,0,0,0,6,17,2008,1942,7037,1109,2134,421,39,332,1287,106,37,737,91,48,9,195,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
altroni01,0,0,0,NULL,19,1933,230,550,52,97,9,1,2,27,5,1,29,0,11,15,0,83,218,16,7,4542,445,425,75.27999985218048,22,1,3433,46,604,N
anderbr01,0,0,0,3,15,2002,1834,6499,1062,1661,338,67,210,761,315,100,960,59,154,74,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
